cnp_codigo,cnp_glosa,top1_codigo,top1_score,top1_glosa,top2_codigo,top2_score,top2_glosa,top3_codigo,top3_score,top3_glosa,top4_codigo,top4_score,top4_glosa,top5_codigo,top5_score,top5_glosa,top6_codigo,top6_score,top6_glosa,top7_codigo,top7_score,top7_glosa,top8_codigo,top8_score,top8_glosa,top9_codigo,top9_score,top9_glosa,top10_codigo,top10_score,top10_glosa
101,Quebrantamiento,8062,0.4981,Incumplimiento de órdenes judiciales,806,0.4928,Actos contra el sistema de justicia,11013,0.4841,Crímenes de guerra,11015,0.4791,Crímenes de lesa humanidad,104,0.467,Suicidio asistido o incitación al suicidio,8063,0.4645,Intención delictiva,8069,0.4581,Otros actos contra el sistema de justicia,1101,0.4571,Actos bajo jurisdicción universal,11021,0.455,Delitos en razón de la condición de menor de edad,219,0.4476,Otros actos que causan daños o que tienen la intención de causar daños a las personas
201,Libertad de culto,80321,0.5205,Violaciones de las normas sobre creencias u opiniones religiosas,8031,0.4835,Actos contra la libertad de expresión,104,0.4804,Suicidio asistido o incitación al suicidio,8039,0.4803,Otros actos relacionados con la libertad de expresión o el control de la expresión,20299,0.4785,Otros actos contra la libertad,803,0.4711,Actos relacionados con la libertad de expresión o el control de la expresión,2029,0.4666,Otros actos contra la libertad,110134,0.453,Actos contra la libertad o la dignidad humana en relación con conflictos armados,202,0.4516,Actos contra la libertad,80322,0.4483,Violaciones de las normas sobre intolerancia e incitación al odio
202,Secuestro,20221,0.6586,Secuestro,2022,0.6567,Privación de libertad,20211,0.6068,Secuestro por progenitores,20212,0.6058,Secuestro por otro familiar,2021,0.5811,Secuestro de menores,20219,0.5807,Otras formas de secuestro de menores,20223,0.5767,Secuestro de vehículos,20222,0.5571,Retención ilegal,20213,0.5263,Secuestro por un tutor legal,2031,0.4999,Esclavitud
203,Sustracción de menores,11021,0.6235,Delitos en razón de la condición de menor de edad,1102,0.5913,Actos contrarios a las leyes u otras disposiciones sobre menores,2021,0.5807,Secuestro de menores,30223,0.5698,Captación de menores con fines sexuales,30113,0.5634,Violación por presunción legal,20219,0.5499,Otras formas de secuestro de menores,30229,0.5433,Otras formas de explotación sexual de menores,30222,0.5399,Prostitución infantil,3022,0.5364,Explotación sexual de menores,30221,0.5256,Pornografía infantil
204,Violación de morada,50122,0.6169,Robo con entrada ilícita en residencias particulares no permanentes,50121,0.6156,Robo con entrada ilícita en residencias particulares permanentes,5012,0.5944,Robo con entrada ilícita en domicilios particulares,501,0.5442,Robo con entrada ilícita,509,0.5365,Otros actos contra la propiedad solamente,5019,0.5335,Otros actos de robo con entrada ilícita,5013,0.5121,Robo con entrada ilícita en locales públicos,211,0.4998,Transgresiones contra las personas,8059,0.4897,Otros actos ilícitos relacionados con la migración,2111,0.4719,Invasión de la intimidad
205,"Apertura, registro o interceptación de correspondencia",9033,0.591,Interceptación o acceso ilícitos a datos informáticos,903,0.5378,Actos contra sistemas informáticos,9031,0.5142,Acceso ilícito a sistemas informáticos,5019,0.4999,Otros actos de robo con entrada ilícita,704,0.4917,Actos relacionados con el producto del delito,9032,0.4908,Injerencia ilícita en sistemas o datos informáticos,90322,0.4855,Injerencia ilícita en datos informáticos,90321,0.4841,Injerencia ilícita en sistemas informáticos,7049,0.4697,Otros actos relacionados con el producto del delito,8063,0.4678,Intención delictiva
206,"Exacciones ilegales (Art. 147, 157 y 241 Código Penal)",704,0.5128,Actos relacionados con el producto del delito,703,0.5104,Corrupción,7049,0.4911,Otros actos relacionados con el producto del delito,601,0.4886,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,60121,0.476,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,7035,0.4701,Enriquecimiento ilícito,602,0.4658,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización",804,0.4533,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,8041,0.4509,Actos contrarios a las disposiciones relativas a los ingresos públicos,709,0.4507,"Otros actos que conllevan fraude, engaño o corrupción"
207,"Detención, destierro o arresto irregular",20222,0.6292,Retención ilegal,2022,0.5908,Privación de libertad,806,0.5588,Actos contra el sistema de justicia,8062,0.5528,Incumplimiento de órdenes judiciales,8059,0.5405,Otros actos ilícitos relacionados con la migración,805,0.5181,Actos relacionados con la migración,110134,0.5137,Actos contra la libertad o la dignidad humana en relación con conflictos armados,20221,0.5118,Secuestro,202,0.5017,Actos contra la libertad,8051,0.5015,Delitos de tráfico ilícito de migrantes
208,Violación de prerrogativas,503,0.5143,Delitos contra la propiedad intelectual,110134,0.5121,Actos contra la libertad o la dignidad humana en relación con conflictos armados,11013,0.5058,Crímenes de guerra,211,0.505,Transgresiones contra las personas,3011,0.4853,Violación,2119,0.4759,Otras transgresiones contra las personas,904,0.473,Actos contra la seguridad del Estado,806,0.4718,Actos contra el sistema de justicia,2022,0.4683,Privación de libertad,509,0.4659,Otros actos contra la propiedad solamente
209,Condenas irregulares,1109,0.5122,Otros actos delictivos no clasificados en otra parte,11013,0.5051,Crímenes de guerra,1102,0.5036,Actos contrarios a las leyes u otras disposiciones sobre menores,802,0.4852,Actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,8059,0.4842,Otros actos ilícitos relacionados con la migración,11019,0.4832,Otros actos bajo jurisdicción universal,211,0.483,Transgresiones contra las personas,104,0.4817,Suicidio asistido o incitación al suicidio,2119,0.4809,Otras transgresiones contra las personas,8063,0.4791,Intención delictiva
210,Allanamientos irregulares,7033,0.5096,Abuso de funciones,801,0.4773,Actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,808,0.4708,Actos contrarios al derecho laboral,703,0.4656,Corrupción,8082,0.4504,Violaciones del derecho laboral individual,804,0.4496,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,8019,0.4479,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,7035,0.4448,Enriquecimiento ilícito,802,0.4436,Actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,8041,0.4422,Actos contrarios a las disposiciones relativas a los ingresos públicos
211,Delito contra libertad de opinión,8031,0.5823,Actos contra la libertad de expresión,803,0.5546,Actos relacionados con la libertad de expresión o el control de la expresión,8039,0.5491,Otros actos relacionados con la libertad de expresión o el control de la expresión,20299,0.5221,Otros actos contra la libertad,8032,0.5191,Actos relacionados con expresiones de creencias y normas sociales controladas,80329,0.4985,Otros actos relacionados con expresiones de creencias y normas sociales controladas,202,0.4922,Actos contra la libertad,80321,0.4899,Violaciones de las normas sobre creencias u opiniones religiosas,2029,0.4833,Otros actos contra la libertad,20229,0.4795,Otras formas de privación de libertad
212,Delito contra libertad de trabajo,808,0.6038,Actos contrarios al derecho laboral,8082,0.571,Violaciones del derecho laboral individual,2032,0.5508,Trabajo forzoso,20323,0.4948,Trabajo forzoso para el Estado o las fuerzas armadas,8081,0.4931,Violaciones del derecho laboral colectivo,20329,0.4922,Otras formas de trabajo forzoso,203,0.48,Esclavitud y explotación,202,0.48,Actos contra la libertad,2042,0.4776,Trata de personas con fines de trabajo o servicios forzosos,2029,0.4733,Otros actos contra la libertad
213,Delitos contra libertad de reunión,905,0.5559,Actos relacionados con grupos delictivos organizados,8019,0.5258,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,202,0.5118,Actos contra la libertad,9051,0.5024,Participación en un grupo delictivo organizado,803,0.4928,Actos relacionados con la libertad de expresión o el control de la expresión,8031,0.492,Actos contra la libertad de expresión,8011,0.4889,Delitos relacionados con la alteración violenta del orden público,9061,0.4871,Participación en un grupo terrorista,2022,0.4839,Privación de libertad,104,0.482,Suicidio asistido o incitación al suicidio
214,Delitos contra la libertad ambulatoria y el derecho de asociación,202,0.5652,Actos contra la libertad,808,0.5524,Actos contrarios al derecho laboral,8081,0.5384,Violaciones del derecho laboral colectivo,806,0.5233,Actos contra el sistema de justicia,801,0.5185,Actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,803,0.5183,Actos relacionados con la libertad de expresión o el control de la expresión,8082,0.5177,Violaciones del derecho laboral individual,905,0.5152,Actos relacionados con grupos delictivos organizados,8031,0.5104,Actos contra la libertad de expresión,104,0.5001,Suicidio asistido o incitación al suicidio
215,Delito contra el derecho de petición,104,0.471,Suicidio asistido o incitación al suicidio,806,0.4666,Actos contra el sistema de justicia,1101,0.465,Actos bajo jurisdicción universal,110134,0.4645,Actos contra la libertad o la dignidad humana en relación con conflictos armados,809,0.4629,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",11013,0.4521,Crímenes de guerra,211,0.4486,Transgresiones contra las personas,8069,0.4467,Otros actos contra el sistema de justicia,8062,0.4432,Incumplimiento de órdenes judiciales,3011,0.4423,Violación
216,"Usurpación de propiedad, descubrimiento o producción",503,0.586,Delitos contra la propiedad intelectual,509,0.5733,Otros actos contra la propiedad solamente,409,0.5274,Otros actos contra la propiedad que entrañan violencia o amenaza de violencia contra las personas,704,0.5138,Actos relacionados con el producto del delito,904,0.5046,Actos contra la seguridad del Estado,7049,0.5007,Otros actos relacionados con el producto del delito,4019,0.4952,Otros actos de robo,5019,0.4951,Otros actos de robo con entrada ilícita,90322,0.4918,Injerencia ilícita en datos informáticos,808,0.485,Actos contrarios al derecho laboral
217,Violación de secreto de invento,503,0.5981,Delitos contra la propiedad intelectual,8063,0.4896,Intención delictiva,90322,0.4628,Injerencia ilícita en datos informáticos,9032,0.4551,Injerencia ilícita en sistemas o datos informáticos,11013,0.4522,Crímenes de guerra,907,0.4403,Infracciones de tráfico no lesivas,1109,0.4399,Otros actos delictivos no clasificados en otra parte,5049,0.439,Otros daños a bienes,90321,0.4385,Injerencia ilícita en sistemas informáticos,9031,0.4369,Acceso ilícito a sistemas informáticos
218,Empleado público que expropie bienes o perturbe posesión de otro,509,0.6037,Otros actos contra la propiedad solamente,409,0.5759,Otros actos contra la propiedad que entrañan violencia o amenaza de violencia contra las personas,503,0.5451,Delitos contra la propiedad intelectual,2022,0.5018,Privación de libertad,7033,0.5009,Abuso de funciones,7049,0.4977,Otros actos relacionados con el producto del delito,4012,0.493,Robo de objetos de valor o bienes en tránsito,203,0.4927,Esclavitud y explotación,704,0.4926,Actos relacionados con el producto del delito,5019,0.4908,Otros actos de robo con entrada ilícita
219,Prolongación de incomunicación,8062,0.4804,Incumplimiento de órdenes judiciales,104,0.4701,Suicidio asistido o incitación al suicidio,2082,0.4459,Acoso,806,0.4431,Actos contra el sistema de justicia,90321,0.434,Injerencia ilícita en sistemas informáticos,202,0.4252,Actos contra la libertad,9033,0.4225,Interceptación o acceso ilícitos a datos informáticos,211,0.4221,Transgresiones contra las personas,9032,0.4195,Injerencia ilícita en sistemas o datos informáticos,1032,0.4167,Homicidio culposo
220,Tormentos a detenidos,1109,0.5004,Otros actos delictivos no clasificados en otra parte,8011,0.4828,Delitos relacionados con la alteración violenta del orden público,11013,0.4778,Crímenes de guerra,806,0.4686,Actos contra el sistema de justicia,11015,0.458,Crímenes de lesa humanidad,8062,0.4565,Incumplimiento de órdenes judiciales,1101,0.455,Actos bajo jurisdicción universal,905,0.4541,Actos relacionados con grupos delictivos organizados,9069,0.4408,Otros actos relacionados con las actividades de un grupo terrorista,2022,0.4392,Privación de libertad
221,Delitos contra vida y la privacidad de las conversaciones,9033,0.5674,Interceptación o acceso ilícitos a datos informáticos,90322,0.5102,Injerencia ilícita en datos informáticos,211,0.51,Transgresiones contra las personas,30223,0.5074,Captación de menores con fines sexuales,2119,0.506,Otras transgresiones contra las personas,9032,0.4931,Injerencia ilícita en sistemas o datos informáticos,2022,0.4875,Privación de libertad,5019,0.4842,Otros actos de robo con entrada ilícita,903,0.4837,Actos contra sistemas informáticos,803,0.4826,Actos relacionados con la libertad de expresión o el control de la expresión
222,"Secuestro con homicidio, violación o lesiones",11013,0.548,Crímenes de guerra,11015,0.5381,Crímenes de lesa humanidad,110131,0.5154,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,101,0.506,Homicidio intencional,1109,0.5047,Otros actos delictivos no clasificados en otra parte,2022,0.5003,Privación de libertad,104,0.4954,Suicidio asistido o incitación al suicidio,20221,0.4895,Secuestro,1031,0.4841,Homicidio no culposo,20219,0.4801,Otras formas de secuestro de menores
223,Exacciones ilegales cometidas por particulares,703,0.521,Corrupción,7035,0.5135,Enriquecimiento ilícito,704,0.5116,Actos relacionados con el producto del delito,60121,0.502,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,601,0.4946,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,203,0.4883,Esclavitud y explotación,804,0.4833,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,60123,0.4759,Cultivo ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,7049,0.4741,Otros actos relacionados con el producto del delito,602,0.4733,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización"
224,Torturas por particulares agentes del Estado,104,0.544,Suicidio asistido o incitación al suicidio,11015,0.539,Crímenes de lesa humanidad,301,0.5256,Violencia sexual,2119,0.5194,Otras transgresiones contra las personas,101,0.5125,Homicidio intencional,211,0.5078,Transgresiones contra las personas,1031,0.5071,Homicidio no culposo,3011,0.5059,Violación,110134,0.5004,Actos contra la libertad o la dignidad humana en relación con conflictos armados,11013,0.5,Crímenes de guerra
225,Torturas cometidas por funcionarios públicos,11015,0.5292,Crímenes de lesa humanidad,104,0.5025,Suicidio asistido o incitación al suicidio,110134,0.4954,Actos contra la libertad o la dignidad humana en relación con conflictos armados,7033,0.4948,Abuso de funciones,101,0.4929,Homicidio intencional,11013,0.4877,Crímenes de guerra,806,0.4776,Actos contra el sistema de justicia,802,0.4761,Actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,203,0.4749,Esclavitud y explotación,1031,0.4743,Homicidio no culposo
226,Promoción odio o violencia con grupos por motivos discriminatorios,80322,0.6289,Violaciones de las normas sobre intolerancia e incitación al odio,11015,0.5468,Crímenes de lesa humanidad,210,0.544,Discriminación,11016,0.5385,Crimen de agresión,2109,0.5381,Otras formas de discriminación,2102,0.5344,Discriminación de grupos,11013,0.5249,Crímenes de guerra,8063,0.5159,Intención delictiva,8011,0.5117,Delitos relacionados con la alteración violenta del orden público,104,0.5021,Suicidio asistido o incitación al suicidio
227,Tortura para anular voluntad,110134,0.5633,Actos contra la libertad o la dignidad humana en relación con conflictos armados,101,0.5486,Homicidio intencional,11015,0.5431,Crímenes de lesa humanidad,104,0.5391,Suicidio asistido o incitación al suicidio,102,0.5372,Tentativa de homicidio intencional,110131,0.5267,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,1031,0.5148,Homicidio no culposo,8063,0.5086,Intención delictiva,11013,0.5079,Crímenes de guerra,301,0.5056,Violencia sexual
228,Tortura con homicidio,110131,0.5424,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,101,0.5413,Homicidio intencional,1031,0.5324,Homicidio no culposo,11015,0.5301,Crímenes de lesa humanidad,11013,0.5147,Crímenes de guerra,1032,0.4944,Homicidio culposo,103,0.4922,Homicidio no intencional,104,0.4847,Suicidio asistido o incitación al suicidio,102,0.4793,Tentativa de homicidio intencional,107,0.4726,Homicidio ilícito relacionado con conflictos armados
229,"Tortura con violación, abuso sexual agravado u otros",11015,0.5505,Crímenes de lesa humanidad,11013,0.5411,Crímenes de guerra,3011,0.531,Violación,301,0.5235,Violencia sexual,30119,0.5021,Otras formas de violación,3012,0.4984,Agresión sexual,30112,0.4943,Violación sin uso de la fuerza,30111,0.4885,Violación con uso de la fuerza,3019,0.4855,Otros actos de violencia sexual,2119,0.4806,Otras transgresiones contra las personas
230,Tortura con cuasidelito,11015,0.5249,Crímenes de lesa humanidad,11013,0.5223,Crímenes de guerra,104,0.5088,Suicidio asistido o incitación al suicidio,110131,0.4989,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,101,0.4914,Homicidio intencional,110134,0.4784,Actos contra la libertad o la dignidad humana en relación con conflictos armados,1031,0.4743,Homicidio no culposo,1101,0.4554,Actos bajo jurisdicción universal,1032,0.4549,Homicidio culposo,106,0.4543,Feticidio ilegal
231,Apremios ilegítimos cometidos por empleados públicos,808,0.5333,Actos contrarios al derecho laboral,7033,0.5287,Abuso de funciones,8082,0.5075,Violaciones del derecho laboral individual,203,0.5014,Esclavitud y explotación,2032,0.4877,Trabajo forzoso,2101,0.4867,Discriminación de personas,8021,0.4812,Delitos de prostitución,703,0.4784,Corrupción,7031,0.4745,Soborno,7034,0.4699,Tráfico de influencias
232,Apremios ilegítimos con homicidio,101,0.5838,Homicidio intencional,104,0.566,Suicidio asistido o incitación al suicidio,1031,0.5607,Homicidio no culposo,11015,0.558,Crímenes de lesa humanidad,110131,0.5577,Homicidio o tentativa de causar la muerte o lesiones graves de forma ilícita en conflictos armados,11013,0.5297,Crímenes de guerra,102,0.5255,Tentativa de homicidio intencional,11016,0.5199,Crimen de agresión,103,0.5122,Homicidio no intencional,1032,0.5115,Homicidio culposo
