cnp_codigo,cnp_glosa,top1_codigo,top1_score,top1_glosa,top2_codigo,top2_score,top2_glosa,top3_codigo,top3_score,top3_glosa,top4_codigo,top4_score,top4_glosa,top5_codigo,top5_score,top5_glosa,top6_codigo,top6_score,top6_glosa,top7_codigo,top7_score,top7_glosa,top8_codigo,top8_score,top8_glosa,top9_codigo,top9_score,top9_glosa,top10_codigo,top10_score,top10_glosa
101,Quebrantamiento,8062,0.0322,Incumplimiento de órdenes judiciales,20229,0.0231,Otras formas de privación de libertad,2022,0.0226,Privación de libertad,11011,0.0205,Tortura,806,0.017,Actos contra el sistema de justicia,202,0.0137,Actos contra la libertad,8063,0.0092,Intención delictiva,8069,0.0079,Otros actos contra el sistema de justicia,2119,0.0063,Otras transgresiones contra las personas,2031,0.0061,Esclavitud
201,Libertad de culto,80321,0.0771,Violaciones de las normas sobre creencias u opiniones religiosas,8031,0.0506,Actos contra la libertad de expresión,11021,0.0468,Delitos en razón de la condición de menor de edad,210,0.0437,Discriminación,110134,0.0427,Actos contra la libertad o la dignidad humana en relación con conflictos armados,2029,0.0412,Otros actos contra la libertad,8032,0.0391,Actos relacionados con expresiones de creencias y normas sociales controladas,2022,0.0361,Privación de libertad,803,0.0308,Actos relacionados con la libertad de expresión o el control de la expresión,202,0.0274,Actos contra la libertad
202,Secuestro,20221,0.5477,Secuestro,2022,0.3908,Privación de libertad,20212,0.244,Secuestro por otro familiar,20211,0.2193,Secuestro por progenitores,20213,0.2104,Secuestro por un tutor legal,2021,0.1551,Secuestro de menores,20223,0.153,Secuestro de vehículos,20222,0.1017,Retención ilegal,20219,0.0893,Otras formas de secuestro de menores,110134,0.0672,Actos contra la libertad o la dignidad humana en relación con conflictos armados
203,Sustracción de menores,2021,0.4682,Secuestro de menores,20221,0.1652,Secuestro,20219,0.1382,Otras formas de secuestro de menores,1102,0.1159,Actos contrarios a las leyes u otras disposiciones sobre menores,11021,0.1014,Delitos en razón de la condición de menor de edad,20211,0.0976,Secuestro por progenitores,20213,0.0774,Secuestro por un tutor legal,11029,0.066,Otros actos contrarios a las leyes u otras disposiciones sobre menores,20212,0.0618,Secuestro por otro familiar,30229,0.04,Otras formas de explotación sexual de menores
204,Violación de morada,509,0.0515,Otros actos contra la propiedad solamente,2111,0.0433,Invasión de la intimidad,2119,0.0326,Otras transgresiones contra las personas,8062,0.0284,Incumplimiento de órdenes judiciales,30113,0.0271,Violación por presunción legal,211,0.0195,Transgresiones contra las personas,40112,0.0164,Robo a personas en lugares privados,409,0.0125,Otros actos contra la propiedad que entrañan violencia o amenaza de violencia contra las personas,50122,0.0096,Robo con entrada ilícita en residencias particulares no permanentes,50121,0.0081,Robo con entrada ilícita en residencias particulares permanentes
205,"Apertura, registro o interceptación de correspondencia",9033,0.1221,Interceptación o acceso ilícitos a datos informáticos,2111,0.1167,Invasión de la intimidad,903,0.0765,Actos contra sistemas informáticos,20221,0.0538,Secuestro,7049,0.0427,Otros actos relacionados con el producto del delito,704,0.0307,Actos relacionados con el producto del delito,2022,0.0285,Privación de libertad,7023,0.0212,Actos de falsificación de documentos,211,0.0166,Transgresiones contra las personas,9032,0.0164,Injerencia ilícita en sistemas o datos informáticos
206,"Exacciones ilegales (Art. 147, 157 y 241 Código Penal)",804,0.0642,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,7049,0.0573,Otros actos relacionados con el producto del delito,11021,0.0533,Delitos en razón de la condición de menor de edad,703,0.0483,Corrupción,8041,0.039,Actos contrarios a las disposiciones relativas a los ingresos públicos,704,0.037,Actos relacionados con el producto del delito,7032,0.0301,Malversación o peculado,701,0.0247,Fraude,7033,0.0183,Abuso de funciones,7035,0.0178,Enriquecimiento ilícito
207,"Detención, destierro o arresto irregular",20222,0.0977,Retención ilegal,20221,0.0458,Secuestro,2022,0.0442,Privación de libertad,8062,0.0217,Incumplimiento de órdenes judiciales,806,0.0188,Actos contra el sistema de justicia,110134,0.016,Actos contra la libertad o la dignidad humana en relación con conflictos armados,809,0.0146,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",20229,0.0125,Otras formas de privación de libertad,8011,0.0079,Delitos relacionados con la alteración violenta del orden público,202,0.0074,Actos contra la libertad
208,Violación de prerrogativas,8062,0.154,Incumplimiento de órdenes judiciales,503,0.1281,Delitos contra la propiedad intelectual,809,0.0933,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",2022,0.0917,Privación de libertad,11021,0.0837,Delitos en razón de la condición de menor de edad,806,0.0744,Actos contra el sistema de justicia,2119,0.0657,Otras transgresiones contra las personas,904,0.0495,Actos contra la seguridad del Estado,210,0.0441,Discriminación,110134,0.044,Actos contra la libertad o la dignidad humana en relación con conflictos armados
209,Condenas irregulares,2119,0.0574,Otras transgresiones contra las personas,11021,0.0512,Delitos en razón de la condición de menor de edad,2022,0.0357,Privación de libertad,806,0.0351,Actos contra el sistema de justicia,8069,0.0262,Otros actos contra el sistema de justicia,704,0.0218,Actos relacionados con el producto del delito,8011,0.0207,Delitos relacionados con la alteración violenta del orden público,20222,0.0194,Retención ilegal,2029,0.0179,Otros actos contra la libertad,11013,0.0159,Crímenes de guerra
