cnp_codigo,cnp_glosa,cnp_descripcion,cnp_familia,iccs_elegido,iccs_glosa_elegida,confianza,justificacion,exclusiones_aplicadas
101,Quebrantamiento,Persona sentenciada que viole su condena.,QUEBRANTAMIENTO DE SENTENCIA,8062,Incumplimiento de órdenes judiciales,alta,"El delito CNP corresponde a una persona sentenciada que viole su condena, lo cual se alinea con el incumplimiento de órdenes judiciales descrito en el código ICCS 8062. La sección ICCS y las inclusiones coinciden con el marco legal del delito, y no se aplican exclusiones que descarten este código.",
201,Libertad de culto,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,80321,Violaciones de las normas sobre creencias u opiniones religiosas,alta,"El delito CNP 201 se relaciona con la libertad de culto, lo que se alinea con la glosa de 80321 que menciona violaciones de las normas sobre creencias u opiniones religiosas. No hay exclusiones que descarten este código en relación con el delito descrito.",
202,Secuestro,El que sin derecho encerrare o detuviere a otro privándole de su libertad o quien proporcionare lugar para la ejecución del delito.,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20221,Secuestro,alta,"El delito CNP se describe como detención ilícita de una persona privándola de libertad, lo que coincide con la definición de 'Secuestro' en el ICCS 20221. La descripción del ICCS 20221 incluye detención ilícita en contra de la voluntad con la finalidad de exigir un provecho ilícito, lo cual se alinea con el CNP. No se aplican exclusiones que descarten este código para el delito descrito.",
203,Sustracción de menores,"Sustraer a un menor de 18 años. Aumenta la pena si se ejecuta para obtener un rescate, imponer exigencias, arrancar decisiones o si resulta un grave daño en la persona del menor",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,2021,Secuestro de menores,alta,"El delito CNP se describe como sustracción de un menor de 18 años, lo que coincide con la definición de 'Secuestro de menores' en el ICCS 2021. No se aplican exclusiones que descarten este código, ya que el delito no se encauza en la exclusión de detención ilegal para exigir un beneficio ilícito (020221) ni en la de adopción ilegal (020291).",
204,Violación de morada,"Entrar en morada ajena (espacio destinado al quehacer personal de un individuo), contra la voluntad de su morador",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,509,Otros actos contra la propiedad solamente,alta,"El delito CNP (Violación de morada) corresponde a la entrada en una morada ajena contra la voluntad del morador, lo cual se incluye en la glosa de 509 (Otros actos contra la propiedad solamente). Además, la entrada en una morada ajena se menciona explícitamente en las inclusiones de 509, lo que confirma su pertinencia. No se aplica ninguna exclusión relevante para descartar este código.",
205,"Apertura, registro o interceptación de correspondencia",Abrir o registrar correspondencia o papeles de otro sin su voluntad.,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,2111,Invasión de la intimidad,alta,"El delito CNP se relaciona con la apertura o interceptación de correspondencia, lo cual se ajusta a la definición de 'invasión de la intimidad' en el ICCS 2111. La glosa y la descripción coinciden con el movimiento del delito, que es la intromisión en la intimidad. Las exclusiones no descartan este delito, ya que no se menciona una intromisión en datos informáticos o sistemas, que serían relevantes para el ICCS 9033.",
206,"Exacciones ilegales (Art. 147, 157 y 241 Código Penal)",,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta,"El delito CNP 206 (exacciones ilegales) se relaciona con actos que violan disposiciones regulatorias, lo que se alinea con el código ICCS 804, que abarca actos contrarios a disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias. Además, el código 804 incluye actos relacionados con comportamientos regulados o prohibidos por motivos morales o políticos, lo cual puede abarcar exacciones ilegales.","Lesiones corporales o posibilidad de infligir lesiones corporales debido al comportamiento negligente, irresponsable o descuidado de una persona (0206); lesiones corporales o posibilidad de infligir lesiones corporales provocadas por el comportamiento peligroso de una persona (0207); actos que conllevan fraude, engaño o corrupción (07); tráfico ilícito de bienes culturales (07042)"
207,"Detención, destierro o arresto irregular","Persona que teniendo facultad para detener, arrestar o desterrar, lo hiciere contra Ley y en forma arbitraria (no oportuna).",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20222,Retención ilegal,alta,"El delito CNP se describe como detención, destierro o arresto irregular, lo que se alinea con la definición de 'Retención ilegal' en el ICCS 20222. La descripción del ICCS 20222 menciona detención ilícita de una o varias personas en contra de su voluntad, sin trasladar a la persona a otro lugar, lo cual coincide con el CNP. Además, las exclusiones del ICCS 20222 no descartan el delito CNP, ya que el CNP no se ajusta a las exclusiones como secuestro de menores, trata de personas, etc.",
208,Violación de prerrogativas,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,8062,Incumplimiento de órdenes judiciales,alta,"El delito CNP 208, Violación de prerrogativas, se relaciona con el incumplimiento de órdenes judiciales o disposiciones legales, lo cual se alinea con la glosa de 8062. Las inclusiones de 8062 incluyen violación de órdenes judiciales, que es directamente relevante para el delito descrito. No hay exclusiones que descarten este delito.",
209,Condenas irregulares,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,806,Actos contra el sistema de justicia,alta,"El delito CNP 209, 'Condenas irregulares', se relaciona con actos que afectan el sistema de justicia, lo cual se alinea con la sección ICCS 806: 'Actos contra el sistema de justicia'. Las exclusiones aplicadas incluyen actos que causan la muerte (01) y actos que equivalen a agresión o amenazas (0201), que no aplican al caso descrito.",actos que causan la muerte (01); actos que equivalen a agresión o amenazas (0201)
210,Allanamientos irregulares,"Empleado público que abusando de su oficio allanare algún lugar, salvo en los casos y formas que prescribe la Ley.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,7033,Abuso de funciones,alta,"El delito CNP 210 se refiere al abuso de funciones por parte de un empleado público al allanar un lugar, lo cual se alinea con la definición de 'Abuso de funciones' en el ICCS 7033, que abarca la realización u omisión de un acto en violación de la ley por parte de un funcionario público. No hay exclusiones que descarten este delito en el contexto del ICCS 7033.",
211,Delito contra libertad de opinión,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,8031,Actos contra la libertad de expresión,alta,"El delito CNP 211 se refiere a una violación de la libertad de opinión, lo cual se alinea con el ICCS 8031 que aborda actos contra la libertad de expresión. La inclusión de 'restricciones ilícitas sobre la libertad de expresión' en el ICCS 8031 es directamente relevante. Además, el ICCS 8031 no excluye el delito CNP, mientras que otros candidatos como 80321 y 80329 excluyen expresamente actos relacionados con la libertad de expresión.","Restricción de la expresión mediante el uso de la fuerza, amenazas, intimidación, amenazas de revelar información comprometedora, o amenazas de difamación (0205)"
212,Delito contra libertad de trabajo,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,808,Actos contrarios al derecho laboral,alta,"El delito CNP 212 se refiere a actos contra la libertad de trabajo, lo cual se alinea con la glosa de 808 (Actos contrarios al derecho laboral). Las inclusiones de 808 abarcan delitos relacionados con el empleo o tipificados en el derecho laboral, lo que incluye traslado arbitrario del empleo y despido arbitrario, que son relevantes para el delito descrito. No hay exclusiones que descarten el delito CNP en este contexto.",
213,Delitos contra libertad de reunión,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,202,Actos contra la libertad,alta,"El delito CNP 213 se refiere a la restricción de la libertad de reunión, lo cual se alinea con la descripción de 'Impedir o limitar el movimiento o la libertad de una persona' del código ICCS 202. Además, la sección ICCS 202 corresponde a actos que causan daños o tienen la intención de causar daños a las personas, lo cual es compatible con el marco del delito. Las exclusiones de 202 no aplican al delito CNP, ya que no se menciona esclavitud, explotación, trata de personas ni actos contra la libertad o expresión.",
214,Delitos contra la libertad ambulatoria y el derecho de asociación,"Empleado público que impidiere a una persona, formar parte de cualquier agrupación permitida por Ley.",CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,202,Actos contra la libertad,alta,"El delito CNP se relaciona con la impedición de la libertad ambulatoria y el derecho de asociación, lo cual se alinea con la glosa de 202 (Actos contra la libertad). La sección ICCS correspondiente (Actos que causan danos o que tienen la intención de causar danos a las personas) es compatible con el marco legal del delito. Además, las exclusiones de 202 no aplican al delito CNP, ya que no se trata de esclavitud, explotación, trata de personas o actos contra la libertad o tendientes al control de la expresión.",
215,Delito contra el derecho de petición,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta,"El delito CNP 215 se relaciona con el derecho de petición, que puede considerarse un acto contra el orden público, la autoridad y las disposiciones del Estado. El código ICCS 809 abarca actos similares, incluyendo insulto al Estado y disposiciones penales relacionadas con el derecho de familia, lo cual es compatible con la glosa del delito CNP. No se aplican exclusiones que descarten este código.",
216,"Usurpación de propiedad, descubrimiento o producción",Empleado público que prive a alguna persona de la propiedad exclusiva de su descubrimiento o producción.,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,503,Delitos contra la propiedad intelectual,alta,"El delito CNP se refiere a la usurpación de propiedad por parte de un empleado público, lo que se alinea con el delito contra la propiedad intelectual en el ICCS, ya que implica la apropiación ilegal de descubrimientos o producciones. No se aplica la exclusión de hurto de propiedad intelectual, ya que el CNP no se refiere a hurto, sino a usurpación por autoridad.",hurto (0502); hurto de propiedad intelectual (0503)
217,Violación de secreto de invento,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,503,Delitos contra la propiedad intelectual,alta,"El delito CNP 217 se refiere a la violación de secreto de invento, lo cual se alinea con el concepto de delitos contra la propiedad intelectual descrito en el ICCS 503. Este código incluye la violación del derecho de autor, patentes y otros derechos de propiedad intelectual, lo cual es compatible con el móvil del delito descrito. Además, el ICCS 503 excluye actividades como la falsificación y la creación de productos falsificados, que no son relevantes para el delito en cuestión.","Creación, fabricación, traslado o posesión de productos falsificados de marca, o protegidos por patentes, licencias o de otro modo (07022); hurto (0502); posesión de dinero o bienes robados; recepción, manipulación, enajenación, venta o tráfico de bienes robados; utilización de piezas robadas para producir otros bienes; ocultamiento de bienes robados (0704); robo de identidad (07019); falsificación (0702); actos contra sistemas informáticos que no equivalen a piratería de programas informáticos (0903)"
218,Empleado público que expropie bienes o perturbe posesión de otro,Castiga al empleado público que expropiare a otro de sus bienes o le perturbe en su posesión ilegalmente.,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,7032,Malversación o peculado,alta,"El delito CNP describe la expropiación ilegal de bienes por parte de un empleado público, lo que se alinea con la definición de malversación o peculado en el ICCS 7032, que abarca la apropiación indebida de bienes confiados a una persona en virtud de su cargo. Las exclusiones del ICCS 7032 no descartan este delito, ya que no se menciona la expropiación de bienes como exclusión. Además, la sección ICCS 7032 (Actos que conllevan fraude, engano o corrupción) es compatible con el marco jurídico del delito CNP.",
219,Prolongación de incomunicación,,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,8062,Incumplimiento de órdenes judiciales,alta,"El delito CNP (219) se refiere a la prolongación de incomunicación, lo cual se relaciona con el incumplimiento de órdenes judiciales, que está incluido en el código ICCS 8062. La sección ICCS y las inclusiones coinciden con el marco legal del delito, y no hay exclusiones que descarten este código.",
