cnp_codigo,cnp_glosa,iccs_elegido,iccs_glosa_elegida,confianza
101,Quebrantamiento,8062,Incumplimiento de órdenes judiciales,alta
201,Libertad de culto,80321,Violaciones de las normas sobre creencias u opiniones religiosas,alta
202,Secuestro,20221,Secuestro,alta
203,Sustracción de menores,2021,Secuestro de menores,alta
204,Violación de morada,509,Otros actos contra la propiedad solamente,alta
205,"Apertura, registro o interceptación de correspondencia",2111,Invasión de la intimidad,alta
206,"Exacciones ilegales (Art. 147, 157 y 241 Código Penal)",804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta
207,"Detención, destierro o arresto irregular",20222,Retención ilegal,alta
208,Violación de prerrogativas,8062,Incumplimiento de órdenes judiciales,alta
209,Condenas irregulares,806,Actos contra el sistema de justicia,alta
210,Allanamientos irregulares,7033,Abuso de funciones,alta
211,Delito contra libertad de opinión,8031,Actos contra la libertad de expresión,alta
212,Delito contra libertad de trabajo,808,Actos contrarios al derecho laboral,alta
213,Delitos contra libertad de reunión,202,Actos contra la libertad,alta
214,Delitos contra la libertad ambulatoria y el derecho de asociación,202,Actos contra la libertad,alta
215,Delito contra el derecho de petición,809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta
216,"Usurpación de propiedad, descubrimiento o producción",503,Delitos contra la propiedad intelectual,alta
217,Violación de secreto de invento,503,Delitos contra la propiedad intelectual,alta
218,Empleado público que expropie bienes o perturbe posesión de otro,7032,Malversación o peculado,alta
219,Prolongación de incomunicación,8062,Incumplimiento de órdenes judiciales,alta
220,Tormentos a detenidos,20222,Retención ilegal,alta
221,Delitos contra vida y la privacidad de las conversaciones,2111,Invasión de la intimidad,alta
222,"Secuestro con homicidio, violación o lesiones",20221,Secuestro,alta
223,Exacciones ilegales cometidas por particulares,804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta
224,Torturas por particulares agentes del Estado,11011,Tortura,alta
225,Torturas cometidas por funcionarios públicos,11011,Tortura,alta
226,Promoción odio o violencia con grupos por motivos discriminatorios,80322,Violaciones de las normas sobre intolerancia e incitación al odio,alta
227,Tortura para anular voluntad,11011,Tortura,alta
228,Tortura con homicidio,11011,Tortura,alta
229,"Tortura con violación, abuso sexual agravado u otros",11011,Tortura,alta
230,Tortura con cuasidelito,11011,Tortura,alta
231,Apremios ilegítimos cometidos por empleados públicos,808,Actos contrarios al derecho laboral,alta
232,Apremios ilegítimos con homicidio,101,Homicidio intencional,alta
233,"Apremios ilegítimos con violación, abuso sexual agravado y otros",3011,Violación,alta
234,Apremios ilegítimos con cuasidelito,2119,Otras transgresiones contra las personas,alta
235,Secuestro con homicidio,20221,Secuestro,alta
236,Secuestro con violación,20221,Secuestro,alta
237,Secuestro con lesiones,20221,Secuestro,alta
248,Secuestro con solicitud de rescate o exigencia o se prolongue por más de 24 hrs.,20221,Secuestro,alta
249,Secuestro por más de 15 días o con grave daño en la persona o sus intereses,20221,Secuestro,alta
299,Otros delitos que afectan los derechos garantidos por la Constitución,NINGUNO,,alta
301,Falsificación de moneda y otros,70211,Falsificación de medios de pago en efectivo,alta
302,Falsificación o uso malicioso de documentos públicos,7023,Actos de falsificación de documentos,alta
303,Falsificación o uso malicioso de documentos privados,7023,Actos de falsificación de documentos,alta
304,Falsificación o uso de pasaportes o permisos para porte de armas,7023,Actos de falsificación de documentos,alta
305,Falsificación de portes de armas,702,Falsificación,alta
306,"Falso testimonio, perjurio o denuncia calumniosa",8061,Obstrucción de la justicia,alta
307,"Presentación de peritos, testigos o intérpretes que faltaren a la verdad o documentos falsos",8061,Obstrucción de la justicia,alta
308,Ejercicio ilegal de la profesión,7019,Otros actos de fraude,alta
309,Usurpación de nombre,7023,Actos de falsificación de documentos,alta
310,Fingimiento de cargos o profesiones,7033,Abuso de funciones,alta
311,Falsificación de licencias médicas o pensiones,7023,Actos de falsificación de documentos,alta
312,"Falsificación de certificados por funcionarios públicos, privados y uso malicioso",7023,Actos de falsificación de documentos,alta
399,"Otros delitos contra la fe pública, de las falsificaciones, del falso testimonio y del perjurio",8061,Obstrucción de la justicia,alta
401,Anticipación y prolongación indebida de funciones pública,7033,Abuso de funciones,alta
402,Nombramientos ilegales,7033,Abuso de funciones,alta
403,Usurpación de atribuciones de empleados públicos y judiciales,7033,Abuso de funciones,alta
404,Prevaricación judicial y administrativa,806,Actos contra el sistema de justicia,alta
405,Prevaricación del abogado y procurador,7033,Abuso de funciones,alta
406,Malversación de caudales públicos,7032,Malversación o peculado,alta
407,Fraudes al Fisco y organismos del Estado (Art. 239),7032,Malversación o peculado,alta
408,Infidelidad en la custodia de documentos,809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta
409,Violación de secretos,904,Actos contra la seguridad del Estado,alta
410,Cohecho cometido por empleado público,7033,Abuso de funciones,alta
411,Cohecho o soborno cometido por particular,7031,Soborno,alta
412,Denegación de auxilio,7033,Abuso de funciones,alta
