nivel_1,nivel_2,nivel_3,nivel_4,delito_iccs,seccion
1,101,,,Homicidio intencional,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,102,,,Tentativa de homicidio intencional,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,103,,,Homicidio no intencional,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,103,1031,,Homicidio no culposo,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,103,1032,,Homicidio culposo,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,103,1032,10321,Homicidio por transito vehicular,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,103,1032,10322,Homicidio no ocasionado por transito vehicular,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,104,,,Suicidio asistido o incitacion al suicidio,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,104,1041,,Suicidio asistido,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,104,1049,,Otros actos de suicidio asistido o incitacion al suicidio,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,105,,,Eutanasia,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,106,,,Feticidio ilegal,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,107,,,Homicidio ilicito relacionado con conflictos armados,Actos que causan la muerte o que tienen la intencion de causar la muerte
1,109,,,Otros actos que causan la muerte o que tienen la intencion de causar la muerte,Actos que causan la muerte o que tienen la intencion de causar la muerte
2,201,,,Agresiones y amenazas,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,201,2011,,Agresion,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,201,2011,20111,Agresion grave,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,201,2011,20112,Agresion leve,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,201,2012,,Amenaza,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,201,2012,20121,Amenaza grave,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,201,2012,20122,Amenaza leve,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,201,2019,,Otras agresiones o amenazas,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,,,Actos contra la libertad,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,2021,,Secuestro de menores,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,2021,20211,Secuestro por progenitores,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,2021,20212,Secuestro por otro familiar,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,2021,20213,Secuestro por un tutor legal,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,2021,20219,Otras formas de secuestro de menores,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,2022,,Privacion de libertad,Actos que causan danos o que tienen la intencion de causar danos a las personas
2,202,2022,20221,Secuestro,Actos que causan danos o que tienen la intencion de causar danos a las personas
