cnp_codigo,cnp_glosa,cnp_descripcion,cnp_familia,iccs_elegido,iccs_glosa_elegida,confianza,justificacion,exclusiones_aplicadas,top1_codigo,top1_score,top2_codigo,top2_score,top3_codigo,top3_score,top4_codigo,top4_score,top5_codigo,top5_score,top6_codigo,top6_score,top7_codigo,top7_score,top8_codigo,top8_score,top9_codigo,top9_score,top10_codigo,top10_score
101,QUEBRANTAMIENTO,ART. 90 Persona sentenciada que viole su condena.,QUEBRANTAMIENTO DE SENTENCIAS Y LOS QUE DURANTE UNA CONDENA DELINQUEN,8062,Incumplimiento de órdenes judiciales,alta,"El tipo penal describe a una persona sentenciada que viola su condena (p. ej. incumplimiento de condiciones de libertad condicional, fuga o violación de sanciones impuestas por el tribunal). ICCS 8062 (Incumplimiento de órdenes judiciales) incluye explícitamente violación de libertad condicional, fuga, evasión de detención domiciliaria y delitos relacionados con la supervisión tras una pena, por lo que es la categoría más precisa. Se verificaron las exclusiones y ninguna impide aplicar 8062 al caso.",['110134: EXCLUSION - Actos contra la libertad que no equivalen a crímenes de guerra (0202) (descarta categoría de crímenes de guerra)'],8062,0.8417192769570777,806,0.8357223040024009,110134,0.8304731438441416,2119,0.8286689329820834,11011,0.8240682405376368,20229,0.8206188345141965,8012,0.8187183643619366,902,0.8178450204690476,8019,0.8159233286077918,211,0.8155422093060215
202,SECUESTRO,ART.141 INC. 1 y 2 El que sin derecho encerrare o detuviere a otro privándole de su libertad o quien proporcionare lugar para la ejecución del delito.,CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,2022,Privación de libertad,alta,"La descripción del CNP tipifica el encerramiento o detención ilícita privando de la libertad a otra persona sin especificar un móvil extorsivo ni otras finalidades especiales. 2022 (Privación de libertad) es la categoría más precisa y general que incluye secuestro/retención ilegal. Se descartó 20221 porque esa categoría exige finalidad de obtener un provecho ilícito (secuestro extorsivo), cosa que no consta en la descripción.","['20221 (Secuestro extorsivo) descartado: requiere finalidad de exigir un provecho ilícito, no indicada en la descripción', '2021, 20211, 20212 (Secuestro de menores / por progenitores / por otro familiar) descartados: la descripción no menciona víctimas menores', '11011, 110134 (Tortura / actos en conflictos armados) descartados: conducta distinta a privación de la libertad', '2031 (Esclavitud) descartado: exige elementos de propiedad/trato de esclavo que no aparecen en la descripción', '2119 (Otras transgresiones contra las personas) descartado: categoría no ajustada al acto principal de privación de la libertad', '20229 descartado: categoría residual menos precisa que 2022']",20221,0.8509334609825745,11011,0.847352844166932,2022,0.8456987319086197,2021,0.8398781046338543,110134,0.8392500681711762,20229,0.8390148463987129,20212,0.8389681690557507,2119,0.8360639880786153,20211,0.834427683115848,2031,0.8340799078995611
203,SUSTRACCIÓN DE MENORES,"ART.142 Sustraer a un menor de 18 años. Aumenta la pena si se ejecuta para obtener un rescate, imponer exigencias, arrancar decisiones o si resulta un grave daño en la persona del menor.",CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,2021,Secuestro de menores,alta,"La conducta descrita en el CNP es la 'sustracción de un menor' (privación/retención de un menor de 18 años). El móvil inicial es sustraer/retener al menor, por lo que corresponde a 'Secuestro de menores' (2021). Las agravantes mencionadas (rescate, exigencias) son circunstancias agravantes o finalidades concretas posteriores, pero no transforman el delito en trata ni en un delito sexual/explotador; por tanto 204, 30222 y 30223 no aplican. Tampoco se eligieron las subcategorías por relación del autor (20211/20212/20213) porque la norma nacional es general y no especifica al autor.","['20221 descartado: categoría de secuestro extorsivo aplicada a privación con finalidad de exigir beneficio ilícito; 20221 excluye secuestro de menores (02021) — por ello no es la categoría adecuada para una sustracción de menores genérica.', '204 (Trata de personas) descartado: requiere finalidad de explotación (sexual, trabajo forzoso, esclavitud, extracción de órganos), no indicada en la descripción del CNP.', '30222 (Prostitución infantil) descartado: requiere finalidad de explotación sexual remunerada; no indicada en el CNP.', '30223 (Captación de menores con fines sexuales) descartado: requiere finalidad sexual en el contacto/captación; no indicada en el CNP.']",204,0.854565923925999,2021,0.8541400541904736,20211,0.8423511975055984,20219,0.8407269029423938,20221,0.8406717996291145,30222,0.8403804734371467,20212,0.8375638124772458,20213,0.8334186886463308,2022,0.8309159598369716,30223,0.8279749678804044
204,VIOLACIÓN DE MORADA,"ART.144 Entrar en morada ajena (espacio destinado al quehacer personal de un individuo), contra la voluntad de su morador.",CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,509,Otros actos contra la propiedad solamente,alta,"La conducta descrita (entrar en morada ajena contra la voluntad del morador) corresponde a una violación de domicilio/entrada u ocupación forzada. ICCS 509 incluye explícitamente 'violación de domicilio; entrada y ocupación forzada', por lo que es el código más preciso. Se descartaron las categorías de intromisión en la intimidad (211/2119) porque sus exclusiones expresan 'violación de domicilio (0509)'. También se descartó 40112 (robo en lugar privado) porque exige un móvil de apropiación/robo que no aparece en la descripción.","[""211: Exclusión especificada 'violación de domicilio (0509)' -> descarta 211 para este delito"", ""2119: Aplica las exclusiones de 0211 que incluyen 'violación de domicilio (0509)' -> descarta 2119"", '40112: Descartado por requerir elemento de robo/móvil de apropiación (no presente en la descripción)']",2119,0.8449475875553626,211,0.8441906060596827,40112,0.8414154594896246,509,0.8371186368742579,11011,0.8354848751094802,5042,0.8341279985125364,8062,0.8324259794238131,30111,0.829192504886951,20229,0.8283634676745592,11029,0.8282776295883894
205,"APERTURA, REGISTRO O INTERCEPTACIÓN DE CORRESPONDENCIA",ART.146 Abrir o registrar correspondencia o papeles de otro sin su voluntad. ART. 156 Empleados de servicios de correos y telégrafos u otros que prevaliéndose de su autoridad interceptaren o abrieren la correspondencia o facilitaren a un tercero su apertura o supresión.,CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,211,Transgresiones contra las personas,alta,"La conducta descrita (abrir, registrar o interceptar correspondencia ajena) es una intromisión ilícita en la intimidad y otros derechos de la persona; corresponde a la categoría de 'Transgresiones contra las personas' (0211). Se descartaron las opciones relacionadas con datos informáticos porque el tipo penal refiere a correspondencia física/servicio postal, no acceso a sistemas informáticos.","['9033: EXCLUSIONES - Aplica a datos informáticos y transmisiones digitales; corresponde a injerencia informática, no a apertura física de correspondencia => descartado.', '11011: EXCLUSIONES - Tortura: excluye actos que no equivalgan a tortura; no coincide con la naturaleza del hecho => descartado.', '8019: EXCLUSIONES - Actos contra mantenimiento del orden público; no aplicable al caso de intimidad privada => descartado.', '709: EXCLUSIONES - Fraude/engaño y corrupción; la conducta descrita es intromisión a la intimidad, no fraude => descartado.', '7049: EXCLUSIONES - Actos relacionados con el producto del delito (posesión/recepción de bienes robados); no encaja => descartado.', '7023: EXCLUSIONES - Falsificación de documentos; no se describe creación/alteración de documentos => descartado.', '20229: EXCLUSIONES - Privación de libertad; no hay privación de libertad en la conducta descrita => descartado.', '2069: EXCLUSIONES - Actos de negligencia; la conducta es intencional de apertura/interceptación, no negligencia => descartado.']",9033,0.8458970477219775,2119,0.8412576793167854,11011,0.8369620688338407,8019,0.8312158569721422,709,0.8305230757905753,7049,0.8303452815145703,211,0.828229831822901,20229,0.8269390667195595,7023,0.8265265731977002,2069,0.8255674581190913
207,"DETENCIÓN, DESTIERRO O ARRESTO IRREGULAR","ART. 148 Persona que teniendo facultad para detener, arrestar o desterrar, lo hiciere contra Ley y en forma arbitraria (no oportuna).",CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,20222,Retención ilegal,alta,"La norma describe una detención/arresto/destierro realizado por quien tiene facultades pero de modo arbitrario e ilegal. El móvil primario es privar indebidamente de la libertad a una persona, lo que encaja con 'Retención ilegal' (02022), que incluye la privación arbitraria de libertad y detención ilícita, y contempla actos cometidos por agentes estatales (desaparición forzada). Se descartaron categorías como secuestro (020221) porque no hay finalidad de obtener un provecho ilícito/extorsión, y crímenes de guerra o tortura porque no concurren los contextos ni elementos requeridos.","['20221 (Secuestro): excluido porque exige finalidad de exigir liberación/provecho ilícito; no aparece en la descripción del CNP 207', '110134 (Actos contra la libertad en conflictos armados): excluido por requerir contexto de conflicto armado/crímenes de guerra', '11011 (Tortura): excluido porque falta elemento de infligir dolores/intención específica propia de tortura', '8062 (Incumplimiento de órdenes judiciales): excluido porque se refiere a obstrucción/violación de órdenes judiciales o supervisión pospenal, no a detención arbitraria por autoridad']",110134,0.8441660366541459,20222,0.8432913627702903,2022,0.8358244447108533,11011,0.8344370117122246,8062,0.8343401504949618,8022,0.8343109435781934,20221,0.8337479223026516,8019,0.8325921606922111,60124,0.8324521439451789,11029,0.8320457392900125
210,ALLANAMIENTOS IRREGULARES,"ART. 155 Empleado público que abusando de su oficio allanare algún lugar, salvo en los casos y formas que prescribe la Ley.",CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,7033,Abuso de funciones,alta,"El tipo penal nacional describe a un empleado público que, abusando de su oficio, allana un lugar: el móvil primario es el abuso de funciones/autoridad del funcionario. ICCS 7033 (Abuso de funciones) incluye expresamente abuso de funciones y abuso de autoridad por parte de funcionarios públicos, por lo que es la correspondencia más precisa. Se descartaron categorías de intromisión en la intimidad o de orden público porque su exclusión o contenido no encajan con el móvil (abuso del cargo).",['0211 / 211: EXCLUSIÓN - violación de domicilio (0509) (por lo que 211/2119 no es apropiado para un allanamiento tipificado como abuso de oficio)'],8019,0.8382888689970522,2119,0.8340740717468303,7033,0.8319862468350897,8049,0.8302970044868317,8012,0.8285520690541116,9033,0.8258817332765677,211,0.8247540289008058,11011,0.8246854033054453,8081,0.8221528752576872,8082,0.8215934984002241
214,DELITOS CONTRA LA LIBERTAD AMBULATORIA Y EL DERECHO DE ASOCIACIÓN,"ART. 158 Nº 4 Empleado público que impidiere a una persona, formar parte de cualquier agrupación permitida por Ley.",CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,8019,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,alta,"El artículo sanciona a un empleado público que impide a una persona formar parte de una agrupación permitida por la ley —es una restricción del derecho de asociación/ensamblaje y actos contra normas sobre reuniones y asociaciones en el espacio público. La categoría 8019 incluye organización/participación en reuniones no autorizadas y otros actos contrarios a normas para mantener el orden público relacionados con la asociación/assemblea, por lo que es la que mejor refleja el móvil (impedir la pertenencia/participación). No se aplican las exclusiones de 0803 (libertad de expresión) ni las específicas de derecho laboral, que corresponderían sólo si el hecho fuese exclusivamente sobre relaciones laborales.","['202 descartado: se refiere principalmente a privación/limitación física del movimiento (libertad ambulatoria en sentido de cautiverio/opresión), no al derecho de asociación/participación en agrupaciones.', '8081 y 8082 descartados: son específicos del derecho laboral (colectivo/individual) — el tipo penal CNP es general sobre cualquier agrupación permitida por la ley, no exclusivamente sindical o laboral.', '210 descartado: categoría de discriminación exige un móvil basado en motivos discriminatorios (raza, género, etc.), que no consta en la descripción del CNP.', '803 descartado: se refiere a control/restricción de la libertad de expresión, distinto del derecho de asociación/ensamblaje regulado en 8019.', '8012 descartado: trata normas y preceptos sociales/religiosos (ebriedad, mendicidad, desórdenes públicos), no la impedición administrativa de formar parte de asociaciones legales.']",8081,0.8419762847326503,8019,0.8416090740195574,202,0.8401964393357632,8012,0.8391314457118559,210,0.8375082866119411,902,0.8351712210477342,8082,0.8342617939775199,809,0.8338303779627029,803,0.8335945431913563,905,0.8329389780915994
216,"USURPACIÓN DE PROPIEDAD, DESCUBRIMIENTO O PRODUCCIÓN",ART. 158 Nº 5 Empleado público que prive a alguna persona de la propiedad exclusiva de su descubrimiento o producción.,CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,7033,Abuso de funciones,alta,"El tipo penal describe a un empleado público que, en el ejercicio de su cargo, priva a otra persona de la propiedad exclusiva de su descubrimiento o producción. Esto responde al móvil: aprovechamiento indebido de la función pública para obtener un beneficio o privar a un tercero, coincidente con 'Abuso de funciones' (7033). Se descartó 7032 (malversación/peculado) porque su ámbito es la apropiación de bienes confiados al funcionario; aquí no consta que los bienes/discovery hubieran sido confiados al empleado.","['De 7032: ""Apropiación ilícita de dinero o bienes que no se han confiado al cuidado propio..."" (excluye malversación cuando no hay bienes confiados)']",6011,0.8306914723205538,809,0.8293619903107233,60122,0.8287925192065313,9033,0.8282707221716527,6021,0.8272695811681403,7032,0.8264213252068443,60124,0.8259290269353907,7033,0.8258230884800739,7049,0.8255576707494421,2119,0.8251808593473196
218,EMPLEADO PÚBLICO QUE EXPROPIE BIENES O PERTURBE POSESIÓN DE OTRO,ART.158 N°6. Castiga al empleado público que expropiare a otro de sus bienes o le perturbe en su posesión ilegalmente.,CRIMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,7032,Malversación o peculado,alta,"El tipo penal describe a un empleado público que se apropia o perturba ilegítimamente la posesión de bienes ajenos mediante el ejercicio de su cargo; esto encaja con 'Malversación o peculado' (7032), que incluye la apropiación indebida por un funcionario. Las exclusiones de 7032 (por ejemplo, apropiación de bienes no confiados) no pueden aplicarse con la información disponible, por lo que 7032 es la categoría más precisa.","['2119: excluido porque se refiere a intromisiones en la intimidad y no a apropiación de bienes', '8019: excluido porque trata actos contra el orden público (reuniones/decoro) no aplicables', '409: excluido porque se refiere a actos contra la propiedad con violencia/saqueo, aquí no se indica violencia', '7049: excluido porque se refiere a recepción/manipulación de productos del delito (receptación), distinto de apropiación por funcionario']",2119,0.8307843870511531,8019,0.8293239093530588,8049,0.8281521599719583,809,0.8245943770983291,11011,0.8224780616897345,409,0.8211998913910998,110134,0.8210729714248314,8082,0.8209847211112793,7049,0.820747877591302,7032,0.8198714637001905
