codigo_iccs,glosa_iccs,descripcion,inclusiones,exclusiones,notas
101,"Homicidio intencional","Muerte ilícita causada a una persona con la intención de causarle la muerte o lesiones graves.","Asesinato ; asesinato por honor; agresión grave que causa la muerte; muerte como resultado de actividades terroristas; asesinato por motivos de dote; feminicidio; infanticidio; homicidio voluntario; ejecuciones extrajudiciales, muertes causadas por el uso excesivo de la fuerza por funcionarios encargados de hacer cumplir la ley u otros funcionarios estatales","Muerte por intervención legal; homicidio justificable en defensa propia, tentativa de homicidio intencional (0102); el homicidio sin el elemento de la intención es homicidio no intencional (0103); homicidio no culposo o involuntario (01031); suicidio asistido o incitación al suicidio (0104); feticidio ilegal (0106); eutanasia (0105)","36 Por asesinato se entiende la agresión mortal ilícita contra una persona con el propósito de causarle la muerte o lesiones graves, incluso cuando sea premeditada o con intención dolosa. 37 El asesinato por honor es el asesinato de una persona por sus familiares u otras personas allegadas, motivado por la intención de vengar un hecho que se perciba como deshonra para la familia... 38 Por agresión grave que causa la muerte se entiende la muerte ilícita debido a una agresión, cometida a sabiendas de que podría acarrear la muerte o lesiones graves. 39 La muerte como resultado de actividades terroristas se refiere a las muertes causadas por un acto cometido con la intención de ocasionar la muerte o lesiones corporales graves a una persona que no es combatiente... 40 El asesinato por motivos de dote se refiere al asesinato de una mujer en relación con la entrega o adquisición de una dote en cualquier momento antes, durante o después del matrimonio. 41 Por feminicidio se entiende el asesinato de una mujer por motivos de misoginia o de género. 42 El infanticidio se refiere al homicidio de un niño menor de un año. 43 El homicidio voluntario es la muerte ilícita causada a una persona con la intención de causarle la muerte en circunstancias de responsabilidad disminuida, como sucede en los casos de provocación."
102,"Tentativa de homicidio intencional","Intento de causar la muerte ilícitamente a una persona con la intención de matarla u ocasionarle lesiones graves.","Tentativa de asesinato; intento de provocar la muerte como resultado de actividades terroristas; tentativa de infanticidio; tentativa de feminicidio","Conspiración para conseguir o cometer un feticidio ilegal (0106); Agresión grave que causa la muerte (0101); homicidio voluntario (0101)",""
103,"Homicidio no intencional","Muerte ilícita de una persona causada de manera no intencional por otra persona.","Homicidio involuntario, causar la muerte por conducir un vehículo de forma peligrosa; aplicar todas las inclusiones enumeradas en 01031 y 01032","Agresión grave que causa la muerte (0101); homicidio voluntario (0101)",""
1031,"Homicidio no culposo","Agresión mortal ilícita contra una persona cuando existe la intención general de causar daño pero no de provocar la muerte ni lesiones graves.","Homicidio involuntario; lesiones corporales que causen la muerte cuando no había intención de causar daños graves","Aplicar todas las exclusiones enumeradas en 0103","33 El homicidio no culposo o involuntario es la muerte ilícita causada a una persona cuando existe la intención general de causar daño pero no de provocar la muerte ni lesiones graves."
1032,"Homicidio culposo","Muerte no intencional como resultado de un acto negligente o involuntario que no esté dirigido intencionalmente a la víctima","Homicidio por negligencia grave; homicidio empresarial; homicidio culposo por tránsito vehicular, aplicar todas las inclusiones enumeradas en 010321 y 010322","Actos negligentes que no llegan a causar la muerte (0206); aplicar todas las exclusiones enumeradas en 0103",""
10321,"Homicidio por tránsito vehicular","Muerte no intencional como resultado de un comportamiento negligente, temerario o descuidado durante la utilización de un vehículo que no esté dirigido intencionalmente a la víctima. - Negligencia, tal como se define en la nota 48.","Causar la muerte por conducir de forma peligrosa; causar la muerte debido a infracciones de las normas de seguridad del tránsito; causar la muerte por utilizar un vehículo bajo la influencia de drogas o alcohol; homicidio culposo por tránsito vehicular","Negligencia relacionada con el tráfico que no llega a causar a la muerte (02063); conducción de un vehículo bajo los efectos de sustancias psicoactivas que no llega a causar a la muerte (02072); aplicar todas las exclusiones enumeradas en 01032","48 La negligencia se refiere al hecho de no ejercer el cuidado que tendría hacia el prójimo una persona razonable o prudente en determinadas circunstancias, o proceder de una manera en que una persona razonable no procedería. 49 Un vehículo es, como mínimo, un dispositivo o estructura para el transporte de personas u objetos e incluye automóviles, motocicletas, camiones, autobuses, trenes, embarcaciones, aeronaves, bicicletas, caballos, tractores, etc."
10322,"Homicidio no ocasionado por tránsito vehicular","Muerte no intencional como resultado de un acto negligente o involuntario que no esté dirigido intencionalmente a la víctima. - Negligencia, tal como se define en la nota 48.","Homicidio por negligencia grave; negligencia profesional que cause la muerte","Aplicar todas las exclusiones enumeradas en 01032","48 La negligencia se refiere al hecho de no ejercer el cuidado que tendría hacia el prójimo una persona razonable o prudente en determinadas circunstancias, o proceder de una manera en que una persona razonable no procedería."
104,"Suicidio asistido o incitación al suicidio","Actos ilícitos para facilitar o instigar intencionalmente el suicidio de una persona.","Aplicar todas las inclusiones enumeradas en 01041 a 01049","Muerte de una persona causada por otra persona con la intención de provocar la muerte sin dolor o poner fin a un sufrimiento imposible de aliviar (0105); omisión del deber de socorro que acarree la muerte (0109)",""
1041,"Suicidio asistido","Muerte intencional de una persona que desea morir, autoinfligida y facilitada por otra persona que la ayuda a morir o le proporciona los conocimientos o los medios necesarios.","Suicidio asistido por médicos que no equivale a eutanasia, suicidio asistido","Muerte de una persona causada por otra persona con la intención de provocar la muerte sin dolor o poner fin a un sufrimiento imposible de aliviar (0105); omisión del deber de socorro que acarree la muerte (0109)",""
1042,"Otros actos de suicidio asistido o incitación al suicidio","Actos conducentes al suicidio de otra persona que no se describen en 01041.","Incitación al suicidio mediante persuasión u otros medios","",""
105,"Eutanasia","Muerte de una persona causada por otra persona, con o sin consentimiento de la persona que va a morir, con la intención de provocar la muerte sin dolor, poner fin a un sufrimiento imposible de aliviar, o no hacer el intento de evitar la muerte por causas naturales en casos de enfermedades terminales o coma irreversibles","Eutanasia no voluntaria; eutanasia involuntaria","Facilitar la muerte de una persona que desea morir (0104)",""
106,"Feticidio ilegal","Muerte ilícita de un feto facilitada o causada intencionalmente por una persona","Aborto ilegal; delitos relacionados con el aborto tal como los define la legislación nacional; ocultamiento del parto mediante la eliminación secreta del feto; abortos espontáneos y muertes prenatales intencionales; realización de un aborto ilegal; aborto de un feto en contra de la reglamentación sobre el aborto; aborto forzado","Aborto legal/feticidio legal; aborto realizado por una persona que carezca de conocimientos médicos (02071)","52 Muerte ilícita de un feto, tal como la define la legislación nacional. La muerte de un feto podría estar prohibida o restringida en función de las semanas de gestación y el peso del feto, prohibida en cualquier circunstancia, o prohibida por otros motivos. 53 Practicar un aborto a una mujer sin su consentimiento previo e informado..."
107,"Homicidio ilícito relacionado con conflictos armados","El homicidio ilícito en situaciones de conflictos armados que no equivalen a crímenes de guerra. - Crimen de guerra, tal como se define en 1101.","Homicidio a manos de un combatiente que se considera delito en la legislación nacional (y enjuiciado como tal) pero que no equivale a un crimen de guerra","Homicidio cometido durante un conflicto armado considerado homicidio intencional (0101); homicidio relacionado con conflictos armados considerado crimen de guerra (11013)",""
