"codigo_iccs","glosa_iccs","descripcion","inclusiones","exclusiones","notas"
"901","Actos relacionados con armas, explosivos y otros materiales destructivos","Posesión, uso, fabricación, importación, exportación, adquisición, venta, entrega o traslado o transferencia de armas de fuego, sus piezas y componentes y municiones, otras armas o explosivos.","Tráfico de armas; posesión o porte ilegal de un arma; aplicar todas las inclusiones enumeradas en 09011 a 09019","El uso de armas, explosivos u otros materiales destructivos para cometer un delito se codifica según el delito concreto; la utilización de armas para cometer un delito puede identificarse con la desagregación adicional por hecho relacionado con las armas","123 Oficina de las Naciones Unidas contra la Droga y el Delito. Protocolo contra la Fabricación y el Tráfico Ilícitos de Armas de Fuego, sus Piezas y Componentes y Municiones..."
"9011","Posesión o uso de armas y explosivos","Posesión o uso ilícitos de armas de fuego fiscalizadas o prohibidas, sus piezas y componentes, municiones, otras armas o explosivos.","Posesión de armas de fuego prohibidas o no registradas, o de sus piezas y componentes o municiones, de otras armas, como gases o explosivos o materiales químicos, biológicos o radiactivos; obtención o uso ilícitos de armas o explosivos sin permiso; disparos ilegales de armas; aplicar todas las inclusiones enumeradas en 090111 a 090119","Aplicar todas las exclusiones enumeradas en 0901",""
"90111","Posesión o uso ilícitos de armas de fuego","Posesión o uso ilícitos de armas de fuego reguladas o prohibidas, o de sus piezas y componentes o municiones.","Posesión y porte de armas cortas sin licencia; disparos ilegales de armas","Aplicar todas las exclusiones enumeradas en 09011",""
"90112","Posesión o uso ilícitos de otras armas o explosivos","Posesión o uso ilícitos de armas o explosivos fiscalizados o prohibidos.","Posesión de armas prohibidas o no registradas que no se consideren armas de fuego; obtención o uso ilícitos de explosivos sin permiso","Aplicar todas las exclusiones enumeradas en 09011",""
"90113","Posesión o uso ilícitos de materiales químicos, biológicos o radiactivos","Posesión o uso ilícitos de materiales químicos, biológicos, radiactivos o nucleares prohibidos o reglamentados.","Obtención o posesión de materiales prohibidos o no registrados","Aplicar todas las exclusiones enumeradas en 09011","124 La posesión ilegal incluye actos conexos tipificados en los instrumentos jurídicos universales de lucha contra el terrorismo."
"90119","Otros actos relacionados con posesión o uso de armas y explosivos","Actos relacionados con la posesión o uso de armas y explosivos no descritos ni clasificados en las categorías 090111 a 090113.","Falsificación, obliteración, supresión o alteración de marcas de armas de fuego; delitos relacionados con fuegos artificiales; almacenamiento ilícito de armas de fuego o explosivos; posesión de artículos que pongan en peligro la vida","Aplicar todas las exclusiones enumeradas en 09011",""
"9012","Tráfico de armas y explosivos","Tráfico de armas o explosivos. - Tráfico, tal como se define en la nota 125.","Fabricación y tráfico de armas de fuego, piezas, componentes y municiones, armas o explosivos fiscalizados o prohibidos, materiales químicos, biológicos o radiactivos; venta sin la licencia correspondiente o a un comprador no autorizado; importación o exportación no autorizadas; aplicar todas las inclusiones enumeradas en 090121 a 090129","Delitos de importación o exportación (08042); delitos aduaneros (08041); aplicar todas las exclusiones enumeradas en 0901","125 El tráfico se refiere, como mínimo, a la fabricación, importación o exportación, adquisición, venta, entrega, producción, traslado o transferencia ilícitos de los bienes de que se trate."
"90121","Tráfico de armas de fuego","Tráfico de armas de fuego, sus piezas y componentes y municiones. - Tráfico, tal como se define en la nota 125.","Fabricación y tráfico de armas de fuego, piezas, componentes y municiones; tráfico de armas de fuego","Aplicar todas las exclusiones enumeradas en 09012","125 El tráfico se refiere, como mínimo, a la fabricación, importación o exportación, adquisición, venta, entrega, producción, traslado o transferencia ilícitos de los bienes de que se trate."
"90122","Tráfico de otras armas o explosivos","Tráfico de armas o explosivos fiscalizados o prohibidos. - Tráfico, tal como se define en la nota 125.","Fabricación, producción o tráfico de armas o explosivos prohibidos","Aplicar todas las exclusiones enumeradas en 09012","125 El tráfico se refiere, como mínimo, a la fabricación, importación o exportación, adquisición, venta, entrega, producción, traslado o transferencia ilícitos de los bienes de que se trate."
"90123","Tráfico de materiales químicos, biológicos o radiactivos","Tráfico de materiales químicos, biológicos, radiactivos o nucleares regulados o prohibidos. - Tráfico, tal como se define en la nota 125.","Fabricación, producción o tráfico de materiales químicos, biológicos o radiactivos","Aplicar todas las exclusiones enumeradas en 09012","125 El tráfico se refiere, como mínimo, a la fabricación, importación o exportación, adquisición, venta, entrega, producción, traslado o transferencia ilícitos de los bienes de que se trate."
"90129","Otros actos relacionados con el tráfico de armas y explosivos","Tráfico de armas y explosivos no descrito ni clasificado en las categorías 090121 a 090123. - Tráfico, tal como se define en la nota 125.","Tráfico de equipo para la fabricación, producción o cultivo ilícitos de drogas sujetas a fiscalización [sic]","Aplicar todas las exclusiones enumeradas en 09012","125 El tráfico se refiere, como mínimo, a la fabricación, importación o exportación, adquisición, venta, entrega, producción, traslado o transferencia ilícitos de los bienes de que se trate."
"9019","Otros actos relacionados con armas y explosivos","Actos relacionados con armas y explosivos no descritos ni clasificados en las categorías 09011 y 09012.","Enseñanza colectiva ilegal del uso de armas","Aplicar todas las exclusiones enumeradas en 0901",""
"902","Actos contra la salud y la seguridad","Actos que tienen posibilidades de causar daño a la salud y la seguridad humanas.","Delitos contra la salud y la seguridad en el trabajo; delitos contra la seguridad del transporte público; delitos contra la salud pública; fabricación de productos que entrañen un riesgo para la salud y la seguridad; transmisión de enfermedades infecciosas; violación de cuarentenas; delitos relacionados con productos farmacéuticos; delitos en materia de saneamiento que no equivalen a la adulteración de alimentos o la venta de alimentos o bebidas nocivos; aplicar todas las inclusiones enumeradas en 09021 a 09029","Actos que ponen en peligro la salud o posibilidad de infligir lesiones corporales a una persona debido a los actos peligrosos de otra persona (02071); actos negligentes (0206); mala praxis (02062); posibilidades de causar daño a la salud humana relacionadas con el uso o la manipulación de sustancias psicoactivas sujetas a fiscalización (06); falsificación de medicamentos y de fármacos de venta con receta (07022)","73 La salud es, como mínimo, la condición de estar libre de enfermedades o lesiones. 126 La seguridad se refiere, como mínimo, a la condición de estar protegido frente a daños o lesiones. 127 Los delitos relacionados con productos farmacéuticos incluyen el hecho de almacenar, transportar y distribuir productos médicos sin cumplir los requisitos reglamentarios..."
"9021","Actos contra la salud y la seguridad en el trabajo","Actos con posibilidades de causar daño a la salud y la seguridad humanas en el trabajo. - Salud, tal como se define en la nota 73. - Seguridad, tal como se define en la nota 126.","Delitos contra la salud y la seguridad en el trabajo; delitos contra la seguridad del transporte público; delitos relacionados con productos farmacéuticos","Adulteración de alimentos, venta de alimentos o bebidas nocivos, y otros actos que ponen en peligro la salud (02071); falsificación de medicamentos y de fármacos de venta con receta (07022); aplicar todas las exclusiones enumeradas en 0902","73 La salud es, como mínimo, la condición de estar libre de enfermedades o lesiones. 126 La seguridad se refiere, como mínimo, a la condición de estar protegido frente a daños o lesiones."
"9029","Otros actos contra la salud y la seguridad","Actos con posibilidades de causar daño a la salud y la seguridad humanas fuera del trabajo. - Salud, tal como se define en la nota 73. - Seguridad, tal como se define en la nota 126.","","Aplicar todas las exclusiones enumeradas en 0902","73 La salud es, como mínimo, la condición de estar libre de enfermedades o lesiones. 126 La seguridad se refiere, como mínimo, a la condición de estar protegido frente a daños o lesiones."
"903","Actos contra sistemas informáticos","Acceso, interceptación, injerencia o uso indebido sin autorización de datos o sistemas informáticos.","Aplicar todas las inclusiones enumeradas en 09031 a 09039","Posesión, distribución o creación de pornografía infantil con sistemas informáticos (030221); robo o piratería de programas informáticos (0503); posesión, distribución o creación de pornografía con sistemas informáticos (08022); fraude y robo con sistemas informáticos (0701) o (0502)","128 Los datos informáticos se refieren, como mínimo, a cualquier representación de hechos, información o conceptos, en un formato de lectura mecánica... Un sistema computacional o informático es, como mínimo, un dispositivo o un grupo de dispositivos interconectados... Un programa computacional o informático se refiere, como mínimo, a instrucciones en un formato de lectura mecánica..."
"9031","Acceso ilícito a sistemas informáticos","Actos ilícitos relacionados con la entrada a una parte o a la totalidad de un sistema informático sin autorización ni justificación. - Sistemas informáticos, tal como se definen en la nota 128.","Acceso a sistemas informáticos sin derecho; piratería informática","Acceso ilícito a archivos informáticos privados equivalente a la intromisión en la intimidad de una persona (02011); aplicar todas las exclusiones enumeradas en 0903","129 El acceso se refiere, como mínimo, a la posibilidad de utilizar, entrar, ver, mostrar, impartir instrucciones o comunicarse; de almacenar o recuperar datos..."
"9032","Injerencia ilícita en sistemas o datos informáticos","Actos ilícitos que obstaculizan el funcionamiento de sistemas informáticos, así como actos encaminados a dañar, borrar, deteriorar, alterar o suprimir datos informáticos sin autorización ni justificación. - Sistemas informáticos, tal como se definen en la nota 128. - Datos informáticos, tal como se definen en la nota 128.","Mutilación, eliminación, alteración o supresión de datos informáticos; obstaculización del funcionamiento de sistemas informáticos; ataque de denegación de servicio, eliminación de archivos de sistemas informáticos sin autorización; daños a sistemas informáticos; aplicar todas las inclusiones enumeradas en 090321 a 090322","Daño a bienes que no sean datos informáticos (0504); aplicar todas las exclusiones enumeradas en 0903","130 Oficina de las Naciones Unidas contra la Droga y el Delito. Estudio Exhaustivo del Problema del Delito Cibernético. 2013."
"90321","Injerencia ilícita en sistemas informáticos","Actos ilícitos que obstaculizan el funcionamiento de sistemas informáticos. - Sistemas informáticos, tal como se definen en la nota 128.","Obstaculización del funcionamiento de sistemas informáticos; ataque de denegación de servicio; daños a sistemas informáticos","Aplicar todas las exclusiones enumeradas en 09032",""
"90322","Injerencia ilícita en datos informáticos","Actos encaminados a dañar, borrar, deteriorar, alterar o suprimir datos informáticos sin autorización ni justificación. - Datos informáticos, tal como se definen en la nota 128.","Actos encaminados a dañar, borrar, deteriorar, alterar o suprimir datos informáticos o archivos de sistemas informáticos sin autorización ni justificación","Aplicar todas las exclusiones enumeradas en 09032",""
"9033","Interceptación o acceso ilícitos a datos informáticos","Actos ilícitos relacionados con la obtención de acceso a datos informáticos sin autorización ni justificación, incluida la obtención de datos durante un proceso de transmisión que no debería ser público, así como la obtención de datos informáticos (por ejemplo, mediante la copia de datos) sin autorización. - Acceso, tal como se define en la nota 129. - Datos informáticos, tal como se definen en la nota 128.","Interceptación de datos informáticos sin derecho; grabación de transmisiones sin derecho en una red inalámbrica, copia de archivos informáticos sin autorización","Acceso ilícito a archivos informáticos privados equivalente a la intromisión en la intimidad de una persona (02011); aplicar todas las exclusiones enumeradas en 0903","129 El acceso se refiere, como mínimo, a la posibilidad de utilizar, entrar, ver, mostrar, impartir instrucciones o comunicarse..."
"9039","Otros actos contra sistemas informáticos","Actos contra sistemas informáticos no descritos ni clasificados en las categorías 09031 a 09033. - Sistemas informáticos, tal como se definen en la nota 128.","Producción, venta, obtención, importación, distribución o posesión de instrumentos destinados a un uso informático indebido","Aplicar todas las exclusiones enumeradas en 0903",""
"904","Actos contra la seguridad del Estado","Actos dirigidos contra la integridad del Estado.","Traición; espionaje; revelación de secretos oficiales; delitos contra la seguridad o las operaciones del gobierno; delitos relacionados con el servicio militar que no equivalen a crímenes de guerra; conspiración contra el Estado; sabotaje; librar una guerra o intentar librar una guerra contra el gobierno que no equivalen al crimen internacional de agresión; usurpación; actos contra el rey o la familia real; sedición","Promesa, ofrecimiento, concesión, solicitud o aceptación de un beneficio indebido para que una persona siga o se abstenga de seguir un curso de acción determinado (0703); disturbios y alteraciones violentas del orden (08011); delitos militares que no estén relacionados con el servicio militar","131 La integridad se refiere, como mínimo, a la aplicación de valores, principios y normas en las operaciones cotidianas del Estado y sus organizaciones del sector público."
"905","Actos relacionados con grupos delictivos organizados","Participación en las actividades de un grupo delictivo organizado.","Participación en un grupo delictivo organizado; aplicar todas las inclusiones enumeradas en 09051 a 09059","Los delitos cometidos mediante la participación de la delincuencia organizada se clasifican según el delito particular; los delitos cometidos por grupos delictivos organizados pueden identificarse mediante la desagregación por contexto organizacional","132 Un grupo delictivo organizado es un grupo estructurado de tres o más personas que exista durante cierto tiempo y que actúe concertadamente con el propósito de cometer uno o más delitos graves..."
"9051","Participación en un grupo delictivo organizado","Participación en las actividades de un grupo delictivo organizado. - Grupo delictivo organizado, tal como se define en la nota 132.","Participación en un grupo delictivo organizado","Los delitos cometidos mediante la participación de un grupo delictivo organizado se clasifican según el delito particular; el vínculo con un grupo delictivo organizado se identifica mediante la desagregación por contexto situacional; aplicar todas las exclusiones enumeradas en 0905","132 Un grupo delictivo organizado es un grupo estructurado de tres o más personas que exista durante cierto tiempo y que actúe concertadamente con el propósito de cometer uno o más delitos graves..."
"9059","Otros actos relacionados con grupos delictivos organizados","Actos relacionados con grupos delictivos organizados no descritos ni clasificados en la categoría 09051.","","Aplicar todas las exclusiones enumeradas en 0905",""
"906","Terrorismo","Participación en las actividades de un grupo terrorista u otros actos individuales o colectivos relacionados con delitos de terrorismo.","Participación o pertenencia a un grupo terrorista; reclutamiento o adiestramiento con fines terroristas; financiación del terrorismo; incitación al terrorismo; aplicar todas las inclusiones enumeradas en 09061 a 09069","Muerte como resultado de actividades terroristas (0101); un delito de terrorismo se clasifica según el delito particular; el vínculo con el terrorismo o con un grupo terrorista puede identificarse mediante la desagregación por contexto situacional","133 Un delito de terrorismo se refiere a todo acto establecido de conformidad con los instrumentos jurídicos universales de lucha contra el terrorismo, o cometido con la intención de causar la muerte o lesiones corporales graves a civiles..."
"9061","Participación en un grupo terrorista","Participación en las actividades de un grupo con el fin de cometer uno o más delitos de terrorismo. - Delito de terrorismo, tal como se define en la nota 133.","Participación o militancia en un grupo terrorista","Aplicar todas las exclusiones enumeradas en 0906","133 Un delito de terrorismo se refiere a todo acto establecido de conformidad con los instrumentos jurídicos universales de lucha contra el terrorismo, o cometido con la intención de causar la muerte o lesiones corporales graves a civiles..."
"9062","Financiación del terrorismo","Financiación de actos terroristas, de terroristas individuales u organizaciones terroristas. - Financiación, tal como se define en la nota 134.","Financiación del terrorismo; financiación de grupos terroristas","Aplicar todas las exclusiones enumeradas en 0906","134 La financiación se refiere a proveer o recolectar fondos con la intención de que se utilicen, o a sabiendas de que serán utilizados, en todo o en parte, para cometer actos terroristas."
"9069","Otros actos relacionados con las actividades de un grupo terrorista","Actos relacionados con las actividades de un grupo terrorista no descritos ni clasificados en las categorías 09061 y 09062. - Delito de terrorismo, tal como se define en la nota 133.","Reclutamiento o adiestramiento con fines terroristas; incitación al terrorismo","Aplicar todas las exclusiones enumeradas en 0906","133 Un delito de terrorismo se refiere a todo acto establecido de conformidad con los instrumentos jurídicos universales de lucha contra el terrorismo, o cometido con la intención de causar la muerte o lesiones corporales graves a civiles..."
"907","Infracciones de tráfico no lesivas","Actos delictivos cometidos por una persona, tipificados en el código y las reglas del tránsito, que no provocan lesiones o muerte.","Delitos relacionados con la matriculación, la conducción, el registro o las inspecciones técnicas de vehículos; exceso de velocidad; violación de normas de seguridad, reglamentos en materia de registro de vehículos, normas relacionadas con el permiso de conducir","Lesiones corporales o posibilidad de infligir lesiones corporales a una persona debido al comportamiento negligente, irresponsable o descuidado de otra persona mientras se tiene el control de un vehículo (02063); utilización de un vehículo bajo los efectos de sustancias psicoactivas (02072); atropello con fuga que cause daños a la propiedad (0504); atropello con fuga que cause lesiones corporales (02063)",""
