ID,data,type
1,Actos que causan la muerte o que tienen la intención de causar la muerte,titulo
101,Homicidio intencional,titulo
101,Muerte ilícita causada a una persona con la intención de causarle la muerte o lesiones graves.,descripcion
101,Asesinato*1; asesinato por honor*2; agresión grave que causa la muerte*3; muerte como resultado de actividades terroristas*4; asesinato por motivos de dote*5; feminicidio*6; infanticidio*7; homicidio voluntario*8; ejecuciones extrajudiciales; muertes causadas por el uso excesivo de la fuerza por funcionarios encargados de hacer cumplir la ley u otros funcionarios estatales*9,inclusion
101,Muerte por intervención legal*10; homicidio justificable en defensa propia*11; tentativa de homicidio intencional (0102); el homicidio sin el elemento de la intención es homicidio no intencional (0103); homicidio no culposo o involuntario*12 (01031); suicidio asistido o incitación al suicidio (0104); feticidio ilegal (0106); eutanasia (0105).,exclusion
101,"1- Por asesinato se entiende la agresión mortal ilícita contra una persona con el propósito de causarle la muerte o lesiones graves, incluso cuando sea premeditada o con intención dolosa.",nota
101,"2- El asesinato por honor es el asesinato de una persona por sus familiares u otras personas allegadas, motivado por la intención de vengar un hecho que se perciba como deshonra para la familia, o con la intención de restablecer el honor de la familia, relacionado con una transgresión real o supuesta de carácter sexual o conductual, incluido el adulterio, las relaciones sexuales o el embarazo fuera del matrimonio (Organización Mundial de la Salud. Understanding and addressing violence against women (Comprender y abordar la violencia contra las mujeres). 2012. En Internet: http://apps.who.int/iris/bitstream/10665/77421/1/WHO_RHR_12.38_eng.pdf).",nota
101,"3- Por agresión grave que causa la muerte se entiende la muerte ilícita debido a una agresión, cometida a sabiendas de que podría acarrear la muerte o lesiones graves.",nota
101,"4- La muerte como resultado de actividades terroristas se refiere a las muertes causadas por un acto cometido con la intención de ocasionar la muerte o lesiones corporales graves a una persona que no es combatiente (es decir, parte en un conflicto), cuando el propósito de dicho acto, por su naturaleza o contexto, sea intimidar a la población u obligar al gobierno o a una organización internacional a realizar o abstenerse de realizar algún tipo de acto (Asamblea General de las Naciones Unidas. Convenio Internacional para la Represión de la Financiación del Terrorismo. 1999. (E/RES/54/109, artículo 2, párrafo 1b))",nota
101,"5- El asesinato por motivos de dote se refiere al asesinato de una mujer en relación con la entrega o adquisición de una dote en cualquier momento antes, durante o después del matrimonio. La dote es cualquier propiedad o bien que uno de los cónyuges entrega al otro. Naciones Unidas. (División para el Adelanto de la Mujer de las Naciones Unidas. Good Practices in Legislation on Harmful Practices Against Women. Addis Ababa, 2009. En Internet: http://www.un.org/womenwatch/daw/egm/vaw_legislation_2009/Final report EGMGPLVAW.pdf)",nota
